ID_HH,s12_car_numb,s12_car_a_numb,s12_car_b_numb,s12_car_c_numb,s12_car_1,s12_car_2,s12_car_3,s12_car_a6_r,s12_car_a7,s12_car_a8,s12_car_a10,s12_car_a11,s12_car_a12_r,s12_car_a13_g,s12_car_a15_r,s12_car_a17,s12_car_a20_r,s12_car_a29,s12_car_a30,s12_car_a31,s12_car_a33_r,s12_car_a34,s12_car_a35,s12_car_a36_r,s12_car_a37,s12_car_a38,s12_car_b6_r,s12_car_b7,s12_car_b8,s12_car_b10,s12_car_b11,s12_car_b12_r,s12_car_b13_g,s12_car_b15_r,s12_car_b17,s12_car_b20_r,s12_car_b29,s12_car_b30,s12_car_b31,s12_car_b33_r,s12_car_b34,s12_car_b35,s12_car_b36_r,s12_car_b37,s12_car_b38
HH18110034,1,1,0,0,0,-7,-7,1,2021,12,2018,2,1,1,5,1,10001.62431,30,20,50,11.97303103,3,2,3,835.3460613,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110035,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110038,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110039,2,1,1,0,0,-7,-7,2,2018,3,2018,1,2,2,5,1,11396.05,30,20,50,11.30514019,3,1,4,1008.041458,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110040,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110041,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110043,1,1,0,0,1,1,-7,1,2012,5,2012,1,1,1,5,1,12000,80,0,20,8,3,1,3,1500,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110045,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110046,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110049,1,1,0,0,0,-7,-7,1,2011,2,1996,2,1,2,5,1,11128.7891,0,0,100,10.91584582,2,1,3,1019.507721,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH18110050,1,1,0,0,1,2,-7,1,2019,6,2019,1,1,2,5,1,8000,30,30,40,12,4,2,4,666.6666667,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
